ticker,direction,entryDate,exitDate,entryPrice,exitPrice,slPrice,tpPrice,R,grossR,netR,feeCostR,slippageCostR,holding_days,MaxFavorableR,MaxAdverseR,regime,exitType
AAVE,LONG,2024-11-05,2024-11-06,135.82,173.59,105.31,227.35,1.2203,1.2379,1.2203,0.0105,0.0071,1,1.31,0.0,BULL,SIGNAL
AAVE,LONG,2024-11-13,2024-11-14,173.02,157.86,121.29,328.21,-0.3062,-0.293,-0.3062,0.0079,0.0054,1,0.07,0.33,BULL,SIGNAL
AAVE,LONG,2024-12-06,2024-12-10,282.18,274.77,205.37,512.6,-0.111,-0.0964,-0.111,0.0087,0.0059,4,0.07,0.66,BULL,SIGNAL
AAVE,LONG,2024-12-12,2024-12-18,368.93,340.24,256.9,705.03,-0.2692,-0.2562,-0.2692,0.0078,0.0053,6,0.27,0.26,BULL,SIGNAL
AAVE,LONG,2024-12-19,2024-12-27,315.94,323.26,179.65,724.8,0.0446,0.0538,0.0446,0.0055,0.0037,8,0.53,0.32,BULL,SIGNAL
AAVE,LONG,2025-01-08,2025-01-09,293.66,280.79,199.03,577.56,-0.1483,-0.136,-0.1483,0.0073,0.005,1,0.06,0.21,BULL,SIGNAL
AAVE,LONG,2025-01-24,2025-02-03,334.95,226.03,226.03,661.73,-1.0122,-1.0,-1.0122,0.0073,0.0049,10,0.1,1.22,BULL,SL
AAVE,LONG,2025-02-11,2025-02-13,243.88,256.35,133.09,576.26,0.1039,0.1126,0.1039,0.0052,0.0035,2,0.14,0.09,BULL,SIGNAL
AAVE,LONG,2025-02-14,2025-02-17,262.72,264.0,160.13,570.49,0.0024,0.0126,0.0024,0.006,0.0041,3,0.15,0.12,BULL,SIGNAL
AAVE,LONG,2025-02-24,2025-03-06,210.47,208.75,145.8,404.47,-0.0395,-0.0266,-0.0395,0.0077,0.0052,10,0.44,0.65,BULL,SIGNAL
AAVE,LONG,2025-03-07,2025-03-10,196.74,180.8,110.01,456.94,-0.1928,-0.1838,-0.1928,0.0054,0.0036,3,0.05,0.24,BULL,SIGNAL
AAVE,LONG,2025-03-11,2025-03-18,181.78,169.8,96.69,437.05,-0.1493,-0.1408,-0.1493,0.005,0.0034,7,0.02,0.25,NEUTRAL,SIGNAL
AAVE,LONG,2025-03-19,2025-03-20,182.72,178.44,127.21,349.26,-0.0902,-0.0772,-0.0902,0.0078,0.0053,1,0.0,0.19,BULL,SIGNAL
AAVE,LONG,2025-03-26,2025-04-07,177.52,141.35,141.35,286.03,-1.0194,-1.0,-1.0194,0.0116,0.0079,12,0.25,1.73,BULL,SL
AAVE,LONG,2025-05-06,2025-05-07,178.05,171.92,141.48,287.78,-0.1869,-0.1676,-0.1869,0.0115,0.0078,1,0.04,0.28,BULL,SIGNAL
AAVE,LONG,2025-05-26,2025-05-27,267.31,271.89,197.04,478.12,0.0501,0.0652,0.0501,0.009,0.0061,1,0.22,0.05,BULL,SIGNAL
AAVE,LONG,2025-05-29,2025-05-30,250.0,251.49,180.02,459.94,0.0071,0.0213,0.0071,0.0084,0.0057,1,0.08,0.12,BULL,SIGNAL
AAVE,LONG,2025-06-02,2025-06-06,257.87,251.05,196.67,441.49,-0.1282,-0.1115,-0.1282,0.0099,0.0067,4,0.28,0.28,BULL,SIGNAL
AAVE,LONG,2025-07-01,2025-07-02,260.13,276.1,194.46,457.14,0.2275,0.2431,0.2275,0.0093,0.0063,1,0.35,0.03,BULL,SIGNAL
AAVE,LONG,2025-07-23,2025-07-24,290.58,286.33,222.03,496.22,-0.0788,-0.062,-0.0788,0.01,0.0068,1,0.06,0.19,BULL,SIGNAL
AAVE,LONG,2025-08-01,2025-08-07,255.85,284.71,197.74,430.15,0.4794,0.4968,0.4794,0.0104,0.007,6,0.51,0.08,BULL,SIGNAL
AAVE,LONG,2025-08-18,2025-08-22,288.92,344.54,220.42,494.42,0.7953,0.812,0.7953,0.01,0.0067,4,0.83,0.19,BULL,SIGNAL
AAVE,LONG,2025-09-01,2025-09-03,304.34,328.22,228.39,532.19,0.2985,0.3144,0.2985,0.0095,0.0064,2,0.32,0.0,BULL,SIGNAL
AAVE,LONG,2025-09-04,2025-09-09,306.98,298.06,229.69,538.82,-0.1311,-0.1154,-0.1311,0.0094,0.0064,5,0.08,0.15,BULL,SIGNAL
AAVE,LONG,2025-09-18,2025-09-22,309.35,269.52,269.52,428.84,-1.0308,-1.0,-1.0308,0.0183,0.0124,4,0.06,1.15,BULL,SL
AAVE,LONG,2025-09-25,2025-10-02,259.8,288.9,210.33,408.2,0.5675,0.5883,0.5675,0.0124,0.0084,7,0.69,0.06,BULL,SIGNAL
AAVE,LONG,2025-10-07,2025-10-10,276.51,225.49,225.49,429.58,-1.0215,-1.0,-1.0215,0.0128,0.0087,3,0.21,3.27,BULL,SL
AAVE,LONG,2025-10-13,2025-11-10,261.16,228.18,163.13,555.28,-0.347,-0.3365,-0.347,0.0063,0.0043,28,0.02,0.85,BULL,SIGNAL
ADA,LONG,2020-07-21,2020-09-07,0.12,0.09,0.09,0.22,-1.0147,-1.0,-1.0147,0.0087,0.0059,48,0.82,1.09,BULL,SL
ADA,LONG,2020-09-21,2020-11-23,0.08,0.14,0.06,0.14,2.9826,3.0,2.9826,0.0104,0.007,63,4.25,0.25,BULL,TP
ADA,LONG,2020-11-24,2020-11-26,0.17,0.13,0.13,0.28,-1.0173,-1.0,-1.0173,0.0103,0.007,2,0.22,1.13,BULL,SL
ADA,LONG,2020-12-15,2021-01-06,0.15,0.27,0.12,0.27,2.9843,3.0,2.9843,0.0094,0.0064,22,4.94,0.69,BULL,TP
ADA,LONG,2021-01-07,2021-02-08,0.3,0.63,0.19,0.63,2.9892,3.0,2.9892,0.0064,0.0043,32,3.8,0.61,BULL,TP
ADA,LONG,2021-03-01,2021-05-31,1.29,1.74,0.7,3.06,0.7548,0.7635,0.7548,0.0052,0.0035,91,1.75,0.61,BULL,TIME
ADA,LONG,2021-08-09,2021-08-19,1.48,2.25,1.22,2.25,2.9772,3.0,2.9772,0.0136,0.0092,10,3.79,0.07,BULL,TP
