ticker,entry_date,exit_date,holding_days,pnl_pct,pnl_dollars,R,MaxFavorableR,MaxAdverseR,regime
ATOM,2020-03-01,2020-03-04,3,0.0030427066689522153,304.27066689522155,0.61,0.61,0.0,NEUTRAL
STORJ,2020-02-27,2020-03-04,6,0.0008118232733904328,81.18232733904328,0.16,0.23,-0.88,NEUTRAL
XRP,2020-03-01,2020-03-04,3,0.0007539622726077628,75.39622726077629,0.15,0.26,0.0,NEUTRAL
BCH,2020-02-27,2020-03-07,9,0.0019562620002061765,195.62620002061766,0.39,1.3,-0.81,NEUTRAL
BTC,2020-02-27,2020-03-07,9,0.0009325840438004938,93.25840438004938,0.19,0.5,-0.34,NEUTRAL
TRX,2020-03-04,2020-03-07,3,-0.0020447556549734276,-204.47556549734276,-0.41,0.31,-0.41,BULL
VET,2020-03-04,2020-03-07,3,-0.0018017283471912383,-180.1728347191238,-0.36,0.26,-0.36,BULL
DOGE,2020-03-07,2020-03-10,3,-0.005930111774557361,-593.0111774557361,-1.19,0.0,-1.31,BULL
ETC,2020-02-27,2020-03-10,12,-0.010174764787766494,-1017.4764787766494,-2.03,1.7,-2.84,NEUTRAL
FIL,2020-03-01,2020-03-10,9,-0.003283455826629585,-328.34558266295846,-0.66,0.14,-0.66,NEUTRAL
ZEN,2020-02-27,2020-03-10,12,-0.012052772890692494,-1205.2772890692493,-2.41,0.0,-2.41,NEUTRAL
CHZ,2020-03-10,2020-03-13,3,-0.016825150787390275,-1682.5150787390276,-3.37,0.17,-4.12,NEUTRAL
COTI,2020-03-07,2020-03-13,6,-0.05756146749336953,-5756.146749336953,-11.51,0.0,-15.89,BULL
GAS,2020-03-04,2020-03-13,9,-0.04134801157689748,-4134.801157689748,-8.27,0.43,-9.87,BULL
SNX,2020-03-01,2020-03-13,12,-0.011300185766180009,-1130.018576618001,-2.26,0.52,-3.62,NEUTRAL
ZEC,2020-02-18,2020-03-13,24,-0.06841096110056336,-6841.096110056335,-13.68,0.0,-14.16,BULL
BCH,2020-03-10,2020-03-16,6,-0.014977100169503826,-1497.7100169503826,-3.0,0.0,-3.74,NEUTRAL
DASH,2020-02-18,2020-03-16,27,-0.06486658478555116,-6486.658478555116,-12.97,0.0,-12.97,BULL
XRP,2020-03-13,2020-03-16,3,-0.003780076920448361,-378.0076920448361,-0.76,0.0,-0.76,NEUTRAL
BNB,2020-02-21,2020-03-19,27,-0.04252280417141757,-4252.280417141757,-8.5,0.41,-12.37,BULL
ETH,2020-02-27,2020-03-19,21,-0.03328509823840443,-3328.5098238404426,-6.66,0.94,-9.43,NEUTRAL
FIL,2020-03-16,2020-03-19,3,0.035128572573179646,3512.8572573179645,7.03,7.03,0.0,NEUTRAL
LINK,2020-01-31,2020-03-19,48,-0.022913393656986285,-2291.3393656986286,-4.58,10.3,-9.25,BULL
LPT,2020-03-10,2020-03-19,9,-0.01726187675889238,-1726.1876758892379,-3.45,0.0,-5.27,NEUTRAL
LTC,2020-02-18,2020-03-19,30,-0.0439871944238545,-4398.71944238545,-8.8,0.41,-11.83,BULL
TRX,2020-03-13,2020-03-19,6,0.004174396578496461,417.4396578496461,0.83,0.83,-0.44,NEUTRAL
VTHO,2020-03-16,2020-03-19,3,0.007314452746432573,731.4452746432573,1.46,1.46,0.0,NEUTRAL
ARB,2020-03-19,2020-03-22,3,-0.001007414588735597,-100.74145887355971,-0.2,0.0,-0.2,NEUTRAL
BTC,2020-03-10,2020-03-22,12,-0.009910447248378074,-991.0447248378074,-1.98,0.0,-3.02,NEUTRAL
DOGE,2020-03-19,2020-03-22,3,-0.0007522637673034116,-75.22637673034116,-0.15,0.04,-0.15,NEUTRAL
FET,2020-03-13,2020-03-22,9,-0.0012456894912144193,-124.56894912144193,-0.25,0.64,-1.55,NEUTRAL
XLM,2020-03-13,2020-03-22,9,-0.0019083774481876829,-190.8377448187683,-0.38,0.3,-0.74,NEUTRAL
XRP,2020-03-19,2020-03-22,3,-0.0030626334986768346,-306.2633498676835,-0.61,0.0,-0.61,NEUTRAL
BCH,2020-03-19,2020-03-25,6,-0.00011209222822276279,-11.20922282227628,-0.02,0.16,-0.5,NEUTRAL
COTI,2020-03-22,2020-03-25,3,0.008336477059240245,833.6477059240244,1.67,1.67,0.0,NEUTRAL
ETH,2020-03-22,2020-03-25,3,0.0033552378555774184,335.52378555774186,0.67,0.8,0.0,NEUTRAL
GAS,2020-03-19,2020-03-25,6,-5.0673750109352014e-05,-5.067375010935201,-0.01,0.03,-0.75,NEUTRAL
ZEC,2020-03-19,2020-03-25,6,0.00012375681621333318,12.375681621333317,0.02,0.17,-0.5,NEUTRAL
