ticker,direction,entryDate,exitDate,entryPrice,exitPrice,R,exitType,holding_hours
BTCUSDT,LONG,2021-01-02 14:00:00,2021-01-02 18:00:00,31546.06,33004.80857142857,1.7422,TP,4
BTCUSDT,LONG,2021-01-02 23:00:00,2021-01-04 09:00:00,32143.53,30354.264285714286,-1.1071,SL,34
BTCUSDT,LONG,2021-01-04 10:00:00,2021-01-06 04:00:00,31038.35,34383.87857142857,1.8894,TP,42
BTCUSDT,LONG,2021-01-07 02:00:00,2021-01-07 18:00:00,36871.47,40051.99,1.8618,TP,16
BTCUSDT,LONG,2021-01-07 21:00:00,2021-01-08 02:00:00,39111.34,37095.61571428571,-1.1156,SL,5
BTCUSDT,LONG,2021-01-08 13:00:00,2021-01-08 20:00:00,41318.03,39023.95428571429,-1.1073,SL,7
BTCUSDT,LONG,2021-01-09 03:00:00,2021-01-10 17:00:00,39973.0,37825.6,-1.1109,SL,38
BTCUSDT,LONG,2021-01-10 18:00:00,2021-01-10 20:00:00,38571.95,36923.032857142854,-1.1394,SL,2
BTCUSDT,LONG,2021-01-10 23:00:00,2021-01-11 02:00:00,38429.85,36129.921428571426,-1.0996,SL,3
BTCUSDT,LONG,2021-01-14 00:00:00,2021-01-15 15:00:00,37371.38,35824.561428571425,-1.144,SL,39
BTCUSDT,LONG,2021-01-15 23:00:00,2021-01-17 07:00:00,36600.0,34548.03,-1.1063,SL,32
BTCUSDT,LONG,2021-01-25 14:00:00,2021-01-25 19:00:00,34544.5,33409.39571428571,-1.1814,SL,5
BTCUSDT,LONG,2021-01-29 02:00:00,2021-01-29 06:00:00,33906.56,32747.56714285714,-1.1744,SL,4
BTCUSDT,LONG,2021-01-29 16:00:00,2021-01-29 19:00:00,37129.4,34241.41428571429,-1.0766,SL,3
BTCUSDT,LONG,2021-01-29 20:00:00,2021-01-31 20:00:00,34322.5,32853.73,-0.4999,TIME,48
BTCUSDT,LONG,2021-02-05 02:00:00,2021-02-06 01:00:00,36632.38,39029.05428571429,1.8178,TP,23
BTCUSDT,LONG,2021-02-06 10:00:00,2021-02-07 00:00:00,39887.91,38815.72142857143,-1.2217,SL,14
BTCUSDT,LONG,2021-02-07 14:00:00,2021-02-07 16:00:00,38629.26,37358.25428571428,-1.1811,SL,2
BTCUSDT,LONG,2021-02-07 17:00:00,2021-02-08 12:00:00,38179.78,40656.34857142857,1.8162,TP,19
BTCUSDT,LONG,2021-02-08 17:00:00,2021-02-09 00:00:00,43184.74,47424.439999999995,1.8786,TP,7
BTCUSDT,LONG,2021-02-09 05:00:00,2021-02-10 12:00:00,46837.57,44759.54714285714,-1.1343,SL,31
BTCUSDT,LONG,2021-02-10 15:00:00,2021-02-11 13:00:00,44954.13,47929.40142857142,1.8199,TP,21
BTCUSDT,LONG,2021-02-11 17:00:00,2021-02-12 14:00:00,47590.52,46145.27428571428,-1.1963,SL,21
BTCUSDT,LONG,2021-02-15 06:00:00,2021-02-16 04:00:00,46722.48,49734.11142857143,1.8151,TP,22
BTCUSDT,LONG,2021-02-19 18:00:00,2021-02-20 12:00:00,54765.5,57111.35142857143,1.7217,TP,18
BTCUSDT,LONG,2021-02-22 11:00:00,2021-02-22 12:00:00,54847.72,52683.17571428571,-1.151,SL,1
BTCUSDT,LONG,2021-02-22 13:00:00,2021-02-22 14:00:00,53784.14,51403.29142857142,-1.1346,SL,1
BTCUSDT,LONG,2021-02-22 16:00:00,2021-02-23 04:00:00,53236.69,49884.38428571429,-1.0946,SL,12
BTCUSDT,LONG,2021-03-03 13:00:00,2021-03-03 14:00:00,52547.23,51199.490000000005,-1.2324,SL,1
BTCUSDT,LONG,2021-03-04 10:00:00,2021-03-05 00:00:00,49069.99,47169.138571428564,-1.1539,SL,14
BTCUSDT,LONG,2021-03-07 16:00:00,2021-03-08 08:00:00,50585.23,49407.97714285715,-1.2561,SL,16
BTCUSDT,LONG,2021-03-09 06:00:00,2021-03-10 16:00:00,54254.52,56969.36571428571,1.7618,TP,34
BTCUSDT,LONG,2021-03-13 14:00:00,2021-03-15 07:00:00,59915.3,58346.47142857143,-1.2276,SL,41
BTCUSDT,LONG,2021-03-15 08:00:00,2021-03-15 09:00:00,57789.75,56070.91,-1.2004,SL,1
BTCUSDT,LONG,2021-03-15 17:00:00,2021-03-16 01:00:00,56261.02,53957.76571428571,-1.1456,SL,8
BTCUSDT,LONG,2021-03-29 10:00:00,2021-03-31 10:00:00,57922.2,57718.44,-0.4192,TIME,48
BTCUSDT,LONG,2021-04-10 05:00:00,2021-04-10 12:00:00,61074.09,60132.36714285714,-1.3865,SL,7
BTCUSDT,LONG,2021-04-13 10:00:00,2021-04-14 18:00:00,62924.23,61719.97571428571,-1.3114,SL,32
BTCUSDT,LONG,2021-04-26 10:00:00,2021-04-28 10:00:00,53450.04,54413.56,0.3116,TIME,48
BTCUSDT,LONG,2021-04-30 16:00:00,2021-05-02 09:00:00,57180.05,56044.518571428576,-1.3001,SL,41
BTCUSDT,LONG,2021-05-04 08:00:00,2021-05-04 14:00:00,55917.98,54411.85428571429,-1.2213,SL,6
BTCUSDT,LONG,2021-06-09 21:00:00,2021-06-11 21:00:00,36368.19,36898.68,0.2121,TIME,48
BTCUSDT,LONG,2021-06-13 21:00:00,2021-06-15 21:00:00,39249.99,39963.48,0.428,TIME,48
BTCUSDT,LONG,2021-06-16 19:00:00,2021-06-17 18:00:00,38709.35,37573.19857142857,-1.2031,SL,23
BTCUSDT,LONG,2021-06-30 15:00:00,2021-07-01 06:00:00,34598.83,33733.27285714286,-1.2382,SL,15
BTCUSDT,LONG,2021-07-26 01:00:00,2021-07-26 02:00:00,36758.73,38329.45857142857,1.721,TP,1
BTCUSDT,LONG,2021-07-26 03:00:00,2021-07-26 22:00:00,38037.62,36777.317142857144,-1.1799,SL,19
BTCUSDT,LONG,2021-07-30 06:00:00,2021-07-30 08:00:00,39723.66,39059.41,-1.3564,SL,2
BTCUSDT,LONG,2021-07-30 23:00:00,2021-08-01 22:00:00,41350.0,40297.29571428571,-1.2341,SL,47
BTCUSDT,LONG,2021-08-02 03:00:00,2021-08-03 03:00:00,39784.07,38653.34285714286,-1.2097,SL,24
BTCUSDT,LONG,2021-08-12 16:00:00,2021-08-13 07:00:00,44196.19,46127.96714285714,1.7273,TP,11
BTCUSDT,LONG,2021-10-01 11:00:00,2021-10-03 11:00:00,47081.47,47974.86,0.5337,TIME,48
BTCUSDT,LONG,2021-10-06 14:00:00,2021-10-08 14:00:00,53996.99,54570.92,0.1674,TIME,48
